metric,pearson_with_path_safety
brier_score,-0.34858930480797634
nll,-0.444766401218843
ece,-0.20937032933086877
signed_ece_conf_minus_acc,0.11904802690886052
mce,-0.29920780516752415
auprc,0.46686791641096403
auroc,0.3888603893979621
mean_probability,0.11904804799628747
path_mean_map_iou,0.1542915185003326
