split,postprocess,members,planning_safety_utility_mean,planning_safety_utility_std,success_rate_collision_free_mean,success_rate_collision_free_std,path_found_rate_mean,path_found_rate_std,collision_rate_among_found_mean,collision_rate_among_found_std,mean_map_iou_mean,mean_map_iou_std,mean_path_corridor_fp_rate_found_mean,mean_path_corridor_fp_rate_found_std
test,component_conf_64_tplus05,24,0.07627952755905512,0.04494224816412862,0.24105971128608925,0.044249872813388276,0.4058398950131234,0.09548266085385408,0.3960345056081169,0.06410756766660435,0.6067715106709599,0.034296007770429404,0.03690405104729621,0.017875493876496146
test,keep_largest,24,0.07636154855643044,0.04509841031592001,0.24097769028871394,0.04430670989941719,0.40559383202099736,0.09545938875099944,0.3958836889694341,0.06423512912612066,0.5906148970734225,0.037577085619341755,0.036871172929008836,0.017860460311868845
test,open3,24,0.07890419947506562,0.04103759232837615,0.2348261154855643,0.047391783757176446,0.39074803149606296,0.09318288455932024,0.3914062863289736,0.058152359790799364,0.6061369814149218,0.03385880255116331,0.03607881226930438,0.017541767912069305
test,open3_remove64,24,0.07890419947506562,0.04103759232837615,0.2348261154855643,0.047391783757176446,0.39074803149606296,0.09318288455932024,0.3914062863289736,0.058152359790799364,0.605469671616685,0.03452383824482711,0.03607819222962184,0.017542072191253956
test,raw,24,0.07627952755905512,0.04494224816412862,0.24105971128608925,0.044249872813388276,0.4058398950131234,0.09548266085385408,0.3960345056081169,0.06410756766660435,0.60699087019653,0.03351525982015379,0.036910097123071216,0.01787630418152112
test,remove_small_128,24,0.07627952755905512,0.04494224816412862,0.24105971128608925,0.044249872813388276,0.4058398950131234,0.09548266085385408,0.3960345056081169,0.06410756766660435,0.6057854840116867,0.03475330330939931,0.03690405104729621,0.017875493876496146
test,remove_small_256,24,0.07627952755905512,0.04494224816412862,0.24105971128608925,0.044249872813388276,0.4058398950131234,0.09548266085385408,0.3960345056081169,0.06410756766660435,0.6020315287625632,0.036549107934253686,0.03689965188629291,0.017878941329430503
test,remove_small_64,24,0.07627952755905512,0.04494224816412862,0.24105971128608925,0.044249872813388276,0.4058398950131234,0.09548266085385408,0.3960345056081169,0.06410756766660435,0.6068562191579705,0.0342256993951899,0.03690405104729621,0.017875493876496146
val,component_conf_64_tplus05,24,0.18986254295532645,0.06255518603432106,0.30283505154639173,0.10422118891158609,0.41580756013745707,0.151443650371637,0.26600628725755954,0.04184924477788596,0.5324068292127446,0.11624508487169029,0.03462020410976386,0.011312185155472878
val,keep_largest,24,0.18943298969072164,0.06280553372013688,0.3019759450171821,0.10351679574858,0.41451890034364264,0.15021242486170674,0.2659256858753167,0.04239629469240391,0.5060446976206951,0.1291321122983244,0.03443743671402446,0.011386403163169054
val,open3,24,0.19072164948453607,0.05992042114854324,0.29896907216494845,0.10357350938839997,0.40721649484536077,0.1527298836262524,0.25824477221663183,0.04151184221285231,0.5321462142980463,0.11490909038783516,0.03308557502444865,0.011013474553840004
val,open3_remove64,24,0.19072164948453607,0.05992042114854324,0.29896907216494845,0.10357350938839997,0.40721649484536077,0.1527298836262524,0.25824477221663183,0.04151184221285231,0.5286322891728829,0.11691305392025234,0.03308476460964594,0.011013057603593411
val,raw,24,0.18986254295532645,0.06255518603432106,0.30283505154639173,0.10422118891158609,0.41580756013745707,0.151443650371637,0.26600628725755954,0.04184924477788596,0.5354927817101941,0.11314681189041075,0.03462020410976386,0.011312185155472878
val,remove_small_128,24,0.18986254295532645,0.06255518603432106,0.30283505154639173,0.10422118891158609,0.41580756013745707,0.151443650371637,0.26600628725755954,0.04184924477788596,0.5292422159247251,0.11801558866819849,0.03461810134825638,0.011310711228900877
val,remove_small_256,24,0.18986254295532645,0.06255518603432106,0.30283505154639173,0.10422118891158609,0.41580756013745707,0.151443650371637,0.26600628725755954,0.04184924477788596,0.521944100393729,0.12118189595626015,0.03461810134825638,0.011310711228900877
val,remove_small_64,24,0.18986254295532645,0.06255518603432106,0.30283505154639173,0.10422118891158609,0.41580756013745707,0.151443650371637,0.26600628725755954,0.04184924477788596,0.5324907233694945,0.11616127218389855,0.03462020410976386,0.011312185155472878
