resolution,split,model,threshold,evaluated_samples,path_found_rate,success_rate_collision_free,unsafe_found_rate,collision_rate_among_found,planning_safety_utility,mean_map_iou,mean_collision_fraction_found,mean_path_false_positive_fraction_found,mean_inference_ms,mean_planning_ms
128,test,rgb_baseline,0.05,508,1.0,0.47244094488188976,0.5275590551181102,0.5275590551181102,-0.05511811023622043,0.25165708046259844,0.15271553303407262,0.15271553303407262,5.116757084743861,1.9854812983214474
128,test,rgb_baseline,0.1,508,0.9507874015748031,0.4625984251968504,0.4881889763779528,0.5134575569358178,-0.025590551181102317,0.30585656423602553,0.13842186286963074,0.13842186286963074,5.116757084743861,1.720351380604048
128,test,rgb_baseline,0.15,508,0.5669291338582677,0.3031496062992126,0.2637795275590551,0.4652777777777778,0.03937007874015752,0.5767626882097031,0.1132891279455842,0.1132891279455842,5.116757084743861,1.1071559066029897
128,test,rgb_baseline,0.2,508,0.5078740157480315,0.28346456692913385,0.22440944881889763,0.4418604651162791,0.05905511811023623,0.5942438124483187,0.09924661492098209,0.09924661492098209,5.116757084743861,0.9777185039165774
128,test,rgb_baseline,0.25,508,0.484251968503937,0.26968503937007876,0.21456692913385828,0.44308943089430897,0.05511811023622054,0.6012642816651425,0.09160391019762462,0.09160391019762462,5.116757084743861,0.914254526453694
128,test,rgb_baseline,0.3,508,0.4763779527559055,0.26968503937007876,0.20669291338582677,0.43388429752066116,0.06299212598425202,0.605307504288428,0.07853791184767626,0.07853791184767626,5.116757084743861,0.8191303178158361
128,test,rgb_baseline,0.35,508,0.452755905511811,0.2578740157480315,0.19488188976377951,0.43043478260869567,0.06299212598425197,0.607683121006805,0.07147641480456854,0.07147641480456854,5.116757084743861,0.7671842520678871
128,test,rgb_baseline,0.4,508,0.4468503937007874,0.25393700787401574,0.19291338582677164,0.43171806167400884,0.0610236220472441,0.6090600257683114,0.06272643843790054,0.06272643843790054,5.116757084743861,0.6985555143520882
128,test,rgb_baseline,0.45,508,0.4409448818897638,0.25,0.19094488188976377,0.4330357142857143,0.05905511811023623,0.6096085675043228,0.056412077282932675,0.056412077282932675,5.116757084743861,0.723963778458653
128,test,rgb_baseline,0.5,508,0.4251968503937008,0.24803149606299213,0.17716535433070865,0.4166666666666667,0.07086614173228345,0.606566146074056,0.046913303090483624,0.046913303090483624,5.116757084743861,0.6866936977974718
128,test,rgb_baseline,0.55,508,0.39763779527559057,0.2440944881889764,0.15354330708661418,0.38613861386138615,0.09055118110236221,0.5911594082444726,0.035959044600391246,0.035959044600391246,5.116757084743861,0.6162580698508564
128,test,rgb_baseline,0.6,508,0.3641732283464567,0.2440944881889764,0.12007874015748031,0.32972972972972975,0.12401574803149606,0.5869033805873805,0.02926682057995207,0.02926682057995207,5.116757084743861,0.535737400220003
128,test,rgb_baseline,0.65,508,0.3484251968503937,0.23228346456692914,0.11614173228346457,0.3333333333333333,0.11614173228346458,0.5828349872143613,0.026046833396212204,0.026046833396212204,5.116757084743861,0.5394375986624949
