model,architecture,mode,trainable_parameters,checkpoint_size_mb,test_iou,selected_threshold,astar_path_found,astar_safe_success,astar_collision_found,astar_safety_utility,dijkstra_path_found,dijkstra_safe_success,dijkstra_collision_found,dijkstra_safety_utility,mean_map_iou_at_threshold,mean_inference_ms,note
rgb_baseline,SmallUNet,rgb,1927009,7.396,0.567792,0.70,0.316929,0.218504,0.310559,0.120079,0.316929,0.216535,0.316770,0.116142,0.577711,3.981,Original compact RGB-only baseline; validation-selected safety threshold.
rgbd_concat_baseline,SmallUNet,rgbd,1927297,7.397,0.557960,0.35,0.484252,0.265748,0.451220,0.047244,0.484252,0.261811,0.459350,0.039370,0.563945,3.793,Original naive RGB-D concatenation baseline; high unsafe-found rate remains the warning case.
semantic_clean,DualBranchSemanticCommNet,rgbd,2803857,10.772,0.649140,0.40,0.429134,0.312992,0.270642,0.196850,0.429134,0.305118,0.288991,0.181102,0.649955,5.887,Compact RGB-D semantic bottleneck; 16x value compression; best compact communication trade-off.
dual_fusion_no_bottleneck,DualBranchFusionNoBottleneck,rgbd,2795393,10.739,0.566869,0.50,0.370079,0.226378,0.388298,0.082677,0.370079,0.220472,0.404255,0.070866,0.641378,5.739,Controlled RGB-D fusion baseline without compact bottleneck; isolates bottleneck contribution.
deeplabv3_resnet50_rgb,DeepLabV3-ResNet50,rgb,39633729,151.534,0.525815,0.55,0.645669,0.421260,0.347561,0.196850,0.645669,0.419291,0.350610,0.192913,0.543286,11.946,"Strong RGB segmentation architecture trained from scratch; large non-compressed model, not a semantic payload."
