setting,semantic_safety,rgb_safety,rgbd_safety,semantic_minus_rgb_safety,semantic_minus_rgbd_safety,semantic_safe_success,semantic_collision_found,semantic_map_iou
nominal_astar8,0.19685039370078738,0.12007874015748032,0.04724409448818906,0.07677165354330706,0.14960629921259833,0.31299212598425197,0.2706422018348624,0.6499551182752156
dijkstra8,0.18110236220472442,0.11614173228346458,0.039370078740157466,0.06496062992125984,0.14173228346456695,0.3051181102362205,0.2889908256880734,0.6499551182752156
astar4,0.16732283464566933,0.11417322834645671,0.029527559055118058,0.053149606299212615,0.13779527559055127,0.30118110236220474,0.3076923076923077,0.6499551182752156
dijkstra4,0.16732283464566933,0.11417322834645671,0.013779527559055094,0.053149606299212615,0.15354330708661423,0.30118110236220474,0.3076923076923077,0.6499551182752156
astar8_start16,0.19685039370078738,0.12007874015748032,0.04330708661417326,0.07677165354330706,0.15354330708661412,0.31299212598425197,0.2706422018348624,0.6499551182752156
astar8_start24,0.19685039370078738,0.12007874015748032,0.04330708661417326,0.07677165354330706,0.15354330708661412,0.31299212598425197,0.2706422018348624,0.6499551182752156
astar8_start48,0.20242914979757087,0.12753036437246962,0.062753036437247,0.07489878542510126,0.13967611336032387,0.31983805668016196,0.26851851851851855,0.657383653031642
astar8_start64,0.19578947368421057,0.11578947368421055,0.027368421052631542,0.08000000000000002,0.16842105263157903,0.3178947368421053,0.27751196172248804,0.6680090535721703
astar8_footprint_r1,0.12151394422310757,0.07768924302788843,-0.033864541832669404,0.04382470119521914,0.15537848605577698,0.29880478087649404,0.3723849372384937,0.6352721338167377
astar8_footprint_r2,-0.03292181069958852,-0.020576131687242816,-0.2119341563786008,-0.012345679012345706,0.17901234567901228,0.2366255144032922,0.532520325203252,0.6260498132592325
dijkstra8_footprint_r1,0.04980079681274896,0.06573705179282868,-0.08565737051792832,-0.015936254980079723,0.13545816733067728,0.26294820717131473,0.4476987447698745,0.6352721338167377
astar4_footprint_r1,0.021912350597609542,0.061752988047808766,-0.1254980079681275,-0.03984063745019922,0.14741035856573703,0.2589641434262948,0.4779116465863454,0.6352721338167377
