setting,model,total_split_samples,selected_evaluable_samples,evaluated_samples,path_found_rate,safe_success_rate,unsafe_found_rate,collision_rate_among_found,path_safety_utility,start_or_goal_blocked_rate,mean_collision_fraction_found,mean_path_length_ratio_success,mean_map_iou,mean_inference_time_ms,mean_planning_time_ms
nominal_astar8,oracle_gt,648,508,508,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.274011412948942
nominal_astar8,rgb_baseline,648,508,508,0.3169291338582677,0.21850393700787402,0.09842519685039369,0.3105590062111801,0.12007874015748032,0.6811023622047244,0.021403748267200262,1.0008663339312933,0.5777110863798485,3.6618427135596625,0.37274684955908616
nominal_astar8,rgbd_concat_baseline,648,508,508,0.484251968503937,0.265748031496063,0.21850393700787396,0.45121951219512196,0.04724409448818906,0.5098425196850394,0.10025638490627856,1.0000529008381065,0.5639445637709584,3.545802952144222,0.6431399617256142
nominal_astar8,semantic_clean,648,508,508,0.42913385826771655,0.31299212598425197,0.11614173228346458,0.2706422018348624,0.19685039370078738,0.5531496062992126,0.019736820820431294,1.0026916048597916,0.6499551182752156,5.360359842082354,0.5677956702759651
dijkstra8,oracle_gt,648,508,508,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,10.097442324297122
dijkstra8,rgb_baseline,648,508,508,0.3169291338582677,0.21653543307086615,0.10039370078740156,0.3167701863354037,0.11614173228346458,0.6811023622047244,0.01930493765274201,1.000874209694305,0.5777110863798485,3.51333858282122,3.323574408138992
dijkstra8,rgbd_concat_baseline,648,508,508,0.484251968503937,0.2618110236220472,0.22244094488188976,0.45934959349593496,0.039370078740157466,0.5098425196850394,0.09738764230116237,1.0000536963394313,0.5639445637709584,3.8224338552929225,6.108695272435104
dijkstra8,semantic_clean,648,508,508,0.42913385826771655,0.3051181102362205,0.12401574803149606,0.2889908256880734,0.18110236220472442,0.5531496062992126,0.02060132201673227,1.002761065630367,0.6499551182752156,5.511599800028787,5.2464488157214175
astar4,oracle_gt,648,508,508,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0292094492346167
astar4,rgb_baseline,648,508,508,0.31496062992125984,0.21456692913385828,0.10039370078740156,0.31875,0.11417322834645671,0.6830708661417323,0.020340924663594044,1.0020718818784056,0.5777110863798485,3.6541348379142,0.3135320872589066
astar4,rgbd_concat_baseline,648,508,508,0.49015748031496065,0.25984251968503935,0.2303149606299213,0.46987951807228917,0.029527559055118058,0.5039370078740157,0.09839815157360365,1.0001306165099269,0.5639445637709584,3.9008444940073663,0.5937214607581878
astar4,semantic_clean,648,508,508,0.43503937007874016,0.30118110236220474,0.13385826771653542,0.3076923076923077,0.16732283464566933,0.5492125984251969,0.023843158035351687,1.0066190307022507,0.6499551182752156,5.899657090845349,0.5449653540345598
dijkstra4,oracle_gt,648,508,508,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7.8797147643209735
dijkstra4,rgb_baseline,648,508,508,0.31496062992125984,0.21456692913385828,0.10039370078740156,0.31875,0.11417322834645671,0.6830708661417323,0.02945431418632677,1.0020718818784056,0.5777110863798485,5.452749406227725,2.2998185082170086
dijkstra4,rgbd_concat_baseline,648,508,508,0.49015748031496065,0.25196850393700787,0.23818897637795278,0.4859437751004016,0.013779527559055094,0.5039370078740157,0.11683899349735231,1.000134698275862,0.5639445637709584,4.125188776488071,4.611339368059952
dijkstra4,semantic_clean,648,508,508,0.43503937007874016,0.30118110236220474,0.13385826771653542,0.3076923076923077,0.16732283464566933,0.5492125984251969,0.031182294321907736,1.0066190307022507,0.6499551182752156,5.962222639249462,3.732175977834625
astar8_start16,oracle_gt,648,508,508,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.4480076790750613
astar8_start16,rgb_baseline,648,508,508,0.3169291338582677,0.21850393700787402,0.09842519685039369,0.3105590062111801,0.12007874015748032,0.6811023622047244,0.021403748267200262,1.0008663339312933,0.5777110863798485,3.734698819315545,0.45906693040297963
astar8_start16,rgbd_concat_baseline,648,508,508,0.4881889763779528,0.265748031496063,0.22244094488188976,0.45564516129032256,0.04330708661417326,0.5059055118110236,0.10099402807583306,1.0000529008381065,0.5639445637709584,3.6003545298347412,0.9038202722619222
astar8_start16,semantic_clean,648,508,508,0.42913385826771655,0.31299212598425197,0.11614173228346458,0.2706422018348624,0.19685039370078738,0.5531496062992126,0.019736820820431294,1.0026916048597916,0.6499551182752156,6.093867718036778,0.6611224416988044
astar8_start24,oracle_gt,648,508,508,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.4181588554120528
astar8_start24,rgb_baseline,648,508,508,0.3169291338582677,0.21850393700787402,0.09842519685039369,0.3105590062111801,0.12007874015748032,0.6811023622047244,0.021403748267200262,1.0008663339312933,0.5777110863798485,3.678703934548232,0.41942932967492563
