profile,split,repeats,samples_per_repeat,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,iou_mean,iou_std,balanced_accuracy_mean,balanced_accuracy_std
clean_float32,test,1,508,0.9042931504136934,0.0,0.8250415071282076,0.0,0.7864730540065694,0.0,0.9439143731279638,0.0,0.8052957502740635,0.0,0.6740544787204007,0.0,0.8651937135672666,0.0
clean_float32,val,1,194,0.9179435808634021,0.0,0.8712514007763142,0.0,0.8649841883451274,0.0,0.9419817124769576,0.0,0.8681064833216516,0.0,0.766950663229519,0.0,0.9034829504110424,0.0
q8_bpsk_ebn0_0,test,3,508,0.8102652882653585,0.0005523723994205751,0.5908705146561166,0.0007262896547666469,0.7999724683624883,0.0017338002026497403,0.8137266172080908,0.00016755511167325165,0.6797029474657804,0.0011040459088858773,0.5148116820937066,0.0012671691112882575,0.8068495427852896,0.0009433852347362415
q8_bpsk_ebn0_0,val,3,194,0.815897309083709,0.0016280994397592117,0.6666550205705851,0.002579429858903455,0.8206554564149903,0.0010027847140765267,0.8137375982874316,0.0019530735061632453,0.735680986383033,0.0019438656599577127,0.5818829830963484,0.002434759737002416,0.8171965273512108,0.0014408521483679692
q8_bpsk_ebn0_2,test,3,508,0.8733797649073164,0.0004068052392068324,0.7189596075281747,0.0007129681883936446,0.8157170638861304,0.001120421973034932,0.8927709111475314,0.0003181660687431524,0.7642879303980129,0.0007943023080856108,0.6185006814078898,0.0010407558751780906,0.854243987516831,0.0006148461937523862
q8_bpsk_ebn0_2,val,3,194,0.877202823809332,0.0007706744713889311,0.7752006650457638,0.0016298461903587762,0.8544508112081018,0.0023259112068343473,0.8875299036222835,0.0011697059173858063,0.8128957680051331,0.0011919616286579218,0.6847737220841813,0.0016908599277661463,0.8709903574151926,0.0010092306057048269
q8_bpsk_ebn0_4,test,3,508,0.9005710471646365,0.00042555348805009606,0.8023750437379166,0.0009381493281497344,0.8025787436661319,0.0009940689674988014,0.9335244651263951,0.00035649236572988716,0.8024766074789843,0.0008456391245787123,0.67011434602863,0.0011796454173140546,0.8680516043962635,0.0005845184336685352
q8_bpsk_ebn0_4,val,3,194,0.9080248436157646,0.0007701056767361647,0.8448083777238811,0.0020138928206541256,0.8641390189450969,0.0001230954579744677,0.9279445061957103,0.0011060943810938526,0.8543631840442272,0.0010459769080508141,0.7457554074120246,0.0015931377002098815,0.8960417625704036,0.0005696960346544741
q8_bpsk_ebn0_6,test,3,508,0.9042115699587846,6.854170884343979e-05,0.82229174940184,0.0001591645589295273,0.7901261681053141,0.00045536353985849506,0.9425768680117071,8.803651243750116e-05,0.8058880244217415,0.000194947240619553,0.6748848468177622,0.00027340549568333325,0.8663515180585105,0.00019188168661531208
q8_bpsk_ebn0_6,val,3,194,0.9162684699514068,0.0004183929212349249,0.8665156826182461,0.0009283913097757441,0.8650564106905195,0.00041061753731842175,0.9395134915080575,0.00046565672690748814,0.8657852915765926,0.0006270410924131026,0.7633351044306135,0.0009749354201869236,0.9022849510992884,0.00040200091285573535
q8_bpsk_ebn0_8,test,3,508,0.9043178207918102,4.215947100263024e-05,0.8248316535397026,9.575773344555216e-05,0.7869054439436763,0.00010570195488248059,0.9438019332172222,3.4257027889766425e-05,0.8054223196100633,8.706658925173093e-05,0.6742318590541725,0.00012201999350201872,0.8653536885804493,6.0285669779844166e-05
q8_bpsk_ebn0_8,val,3,194,0.9178783508510525,4.193099135725304e-05,0.8710028368591157,0.00012187836125992535,0.865071526995369,2.7045040821246332e-05,0.9418472319423289,6.360999484961392e-05,0.8680270447519853,5.8175427540022304e-05,0.7668266684378855,9.080530355865327e-05,0.9034593794688489,3.049300586248695e-05
q8_ideal,test,1,508,0.9042972354438361,0.0,0.8250109545617299,0.0,0.7865384615384615,0.0,0.9438978362729332,0.0,0.805315481449708,0.0,0.6740821270764688,0.0,0.8652181489056974,0.0
q8_ideal,val,1,194,0.9178976471891108,0.0,0.871126068705699,0.0,0.8649791495768442,0.0,0.94191721671035,0.0,0.8680417271352795,0.0,0.7668495808935339,0.0,0.9034481831435971,0.0
q8_rep3_ebn0_0,test,3,508,0.8971273667543266,0.0006925815339645718,0.7886967352844709,0.0012386790090529454,0.807581067145367,0.0015642047983173118,0.9272405137321188,0.0004003413025725951,0.79802716892616,0.0013970599215296234,0.6639333699776641,0.001935085770917658,0.8674107904387429,0.0009816601943491217
q8_rep3_ebn0_0,val,3,194,0.9020801032941366,0.00037397198004912596,0.831021081177555,0.0009837872510023422,0.861533639824812,0.0003471385896162652,0.9204840384413066,0.0005654712513601455,0.8460019523842209,0.0005004567219936194,0.7331055111437431,0.0007516574893122116,0.8910088391330593,0.0002882728168075292
q8_rep3_ebn0_2,test,3,508,0.9042317548136073,0.00036281219448471843,0.8199672894928799,0.00038587203739996983,0.7937186489445676,0.0014100982165259296,0.9413957405342828,0.00011540977203035756,0.8066290263694521,0.0008630181960189053,0.6759256675048001,0.0012115187042613105,0.8675571947394252,0.0007057599938199957
q8_rep3_ebn0_2,val,3,194,0.9151936429472723,0.00040556080509624863,0.8636907210424819,0.001075912737402666,0.8648464620120541,0.00025823456677364194,0.9380460984635369,0.0005639869191294212,0.8642678748321799,0.0005727151583555529,0.7609790760291419,0.0008876919605483594,0.9014462802377956,0.000323924366009579
