profile,split,threshold,rows,unique_samples,repeats,path_found_rate,success_rate_collision_free,unsafe_found_rate,collision_rate_among_found,planning_safety_utility,mean_map_iou,std_map_iou,mean_collision_fraction_found,mean_inference_ms,mean_encoder_ms,mean_channel_ms,mean_decoder_ms
clean_float32,test,0.1,508,508,1,0.6141732283464567,0.34448818897637795,0.26968503937007876,0.4391025641025641,0.07480314960629919,0.6488825898224295,0.21630543582357992,0.09695368819446791,6.859552956692229,4.187750594331113,0.05445767406696879,2.6173446882941476
clean_float32,test,0.15,508,508,1,0.5787401574803149,0.32677165354330706,0.25196850393700787,0.43537414965986393,0.07480314960629919,0.6521458840320354,0.22261695755791988,0.09227084956115446,6.859552956692229,4.187750594331113,0.05445767406696879,2.6173446882941476
clean_float32,test,0.2,508,508,1,0.5511811023622047,0.31299212598425197,0.23818897637795275,0.43214285714285716,0.07480314960629919,0.6530393486806636,0.22799412283396772,0.08857513503864223,6.859552956692229,4.187750594331113,0.05445767406696879,2.6173446882941476
clean_float32,test,0.25,508,508,1,0.5255905511811023,0.3031496062992126,0.22244094488188976,0.4232209737827715,0.08070866141732291,0.6524060971716067,0.23327982515327528,0.0828375567302033,6.859552956692229,4.187750594331113,0.05445767406696879,2.6173446882941476
clean_float32,test,0.3,508,508,1,0.49803149606299213,0.28346456692913385,0.21456692913385828,0.4308300395256917,0.06889763779527558,0.6509966620637698,0.2386581321666785,0.07944770936189442,6.859552956692229,4.187750594331113,0.05445767406696879,2.6173446882941476
clean_float32,test,0.35,508,508,1,0.484251968503937,0.27165354330708663,0.2125984251968504,0.43902439024390244,0.05905511811023628,0.6490356440813475,0.24366371572281612,0.07772518011529896,6.859552956692229,4.187750594331113,0.05445767406696879,2.6173446882941476
clean_float32,test,0.4,508,508,1,0.4566929133858268,0.2618110236220472,0.19488188976377951,0.4267241379310345,0.06692913385826765,0.6466362794838375,0.24883246267308207,0.07067802859793071,6.859552956692229,4.187750594331113,0.05445767406696879,2.6173446882941476
clean_float32,test,0.45,508,508,1,0.43700787401574803,0.2578740157480315,0.17913385826771652,0.4099099099099099,0.07874015748031493,0.6444079640851359,0.2536751809937131,0.06280693379003541,6.859552956692229,4.187750594331113,0.05445767406696879,2.6173446882941476
clean_float32,test,0.5,508,508,1,0.421259842519685,0.25,0.17125984251968504,0.40654205607476634,0.07874015748031499,0.6423022315157328,0.25807361322227756,0.06045123354835558,6.859552956692229,4.187750594331113,0.05445767406696879,2.6173446882941476
clean_float32,test,0.55,508,508,1,0.3858267716535433,0.2283464566929134,0.15748031496062992,0.40816326530612246,0.0708661417322835,0.6402233044377015,0.2620356106984013,0.06122030428715614,6.859552956692229,4.187750594331113,0.05445767406696879,2.6173446882941476
clean_float32,test,0.6,508,508,1,0.34448818897637795,0.19291338582677164,0.1515748031496063,0.44,0.041338582677165336,0.6381307375710028,0.26570225433672506,0.06124068439554345,6.859552956692229,4.187750594331113,0.05445767406696879,2.6173446882941476
clean_float32,test,0.65,508,508,1,0.30118110236220474,0.16929133858267717,0.13188976377952755,0.43790849673202614,0.037401574803149595,0.6355440506070437,0.26956668319270893,0.0623220471271674,6.859552956692229,4.187750594331113,0.05445767406696879,2.6173446882941476
clean_float32,test,0.7,508,508,1,0.265748031496063,0.15354330708661418,0.11220472440944881,0.4222222222222222,0.041338582677165336,0.6327002206307755,0.27353425042883067,0.06219443849515204,6.859552956692229,4.187750594331113,0.05445767406696879,2.6173446882941476
clean_float32,test,0.75,508,508,1,0.20275590551181102,0.11811023622047244,0.08464566929133858,0.4174757281553398,0.033464566929133854,0.6291039029026932,0.27798567584250683,0.0563809572609507,6.859552956692229,4.187750594331113,0.05445767406696879,2.6173446882941476
