profile,selected_threshold,selection_planning_safety_utility,selection_success_rate_collision_free,selection_mean_map_iou
clean_float32,0.4,0.3453608247422679,0.5103092783505154,0.6691804250346459
q8_bpsk_ebn0_0,0.15,0.2852233676975945,0.48109965635738833,0.4795423669450558
q8_bpsk_ebn0_2,0.35,0.31099656357388317,0.4587628865979381,0.5982717184621952
q8_bpsk_ebn0_4,0.3,0.3350515463917526,0.5017182130584192,0.6473457583371208
q8_bpsk_ebn0_6,0.4,0.3402061855670103,0.5034364261168385,0.6668912598537973
q8_bpsk_ebn0_8,0.4,0.3453608247422679,0.5103092783505154,0.669205897416988
q8_ideal,0.4,0.3453608247422679,0.5103092783505154,0.6691258809423972
q8_rep3_ebn0_0,0.35,0.3264604810996563,0.48625429553264604,0.6384965022377593
q8_rep3_ebn0_2,0.25,0.33676975945017174,0.5120274914089347,0.6544835644215568
