variant,seed,latent_channels,best_epoch,best_val_iou,val_iou,val_f1,test_iou,test_f1,test_precision,test_recall,parameter_count,checkpoint_bytes,q8_payload_kbit,elapsed_seconds,payload_semantic_shape,payload_semantic_values,payload_float32_payload_bits,payload_q8_payload_bits_including_minmax,payload_compression_vs_rgbd_float32,payload_compression_vs_rgb8_depth16
strict_l8_stable_seed23,20260723,8,14,0.6592100378647259,0.6592100378647259,0.7946070990485302,0.5164381772176782,0.6811199884192035,0.8424511675206865,0.5716481586645603,3074569,12377818,16.448,2025.596806526184,"[8, 16, 16]",2048,65536,16448,127.50194552529183,39.8443579766537
strict_l8_stable_seed24,20260724,8,13,0.6432820855614969,0.6432820855614969,0.78292350511261,0.5476002450400614,0.7076766062963229,0.7819786745319676,0.6462693689781385,3074569,12377818,16.448,1594.3100652694702,"[8, 16, 16]",2048,65536,16448,127.50194552529183,39.8443579766537
strict_l8_stable_seed25,20260725,8,10,0.708057169460548,0.708057169460548,0.8290790047266945,0.5353934182697683,0.6974022573304853,0.8310997001429961,0.6007592496265787,3074569,12377818,16.448,1406.3884572982788,"[8, 16, 16]",2048,65536,16448,127.50194552529183,39.8443579766537
