variant,seed,latent_channels,best_epoch,best_val_iou,val_iou,val_f1,test_iou,test_f1,test_precision,test_recall,parameter_count,checkpoint_bytes,q8_payload_kbit,elapsed_seconds,payload_semantic_shape,payload_semantic_values,payload_float32_payload_bits,payload_q8_payload_bits_including_minmax,payload_compression_vs_rgbd_float32,payload_compression_vs_rgb8_depth16
strict_l8_seed24,20260724,8,8,0.6884970068706121,0.6884970068706121,0.8155146306425093,0.5200849293505672,0.6842840408930038,0.7981580127399874,0.5988460932765126,3074569,12377562,16.448,1290.4643280506134,"[8, 16, 16]",2048,65536,16448,127.50194552529183,39.8443579766537
strict_l8_seed25,20260725,8,9,0.6033991306206794,0.6033991306206794,0.7526499406140018,0.5225447157548926,0.686409679773779,0.8705577745041456,0.566564860724699,3074569,12377562,16.448,1349.704592704773,"[8, 16, 16]",2048,65536,16448,127.50194552529183,39.8443579766537
